DB_SIZE = 100
Method,Avg Query Creation Time (ms),Std (Query Creation) (ms),Avg Server Computation Time (ms),Std (Server Computation) (ms),Avg Reconstruction Time (ms),Std (Reconstruction) (ms),Bandwidth Sent (KB)
PIR_Additive_SS,0.192,0.000,192.637,0.000,0.005,0.000,2.70
PIR_SSS,0.291,0.000,181.899,0.000,0.020,0.000,2.51
PIR_DPF,0.084,0.000,187.825,0.000,0.002,0.000,12.50
Eﬃcient_IT_PIR,0.133,0.019,22.272,0.684,0.006,0.006,1.19

DB_SIZE = 1000
Method,Avg Query Creation Time (ms),Std (Query Creation) (ms),Avg Server Computation Time (ms),Std (Server Computation) (ms),Avg Reconstruction Time (ms),Std (Reconstruction) (ms),Bandwidth Sent (KB)
PIR_Additive_SS,1.659,0.000,151.705,0.000,0.006,0.000,25.95
PIR_SSS,2.654,0.000,153.169,0.000,0.025,0.000,23.60
PIR_DPF,0.108,0.000,189.149,0.000,0.004,0.000,125.00
Eﬃcient_IT_PIR,0.170,0.008,251.039,7.343,0.005,0.001,1.61

DB_SIZE = 5000
Method,Avg Query Creation Time (ms),Std (Query Creation) (ms),Avg Server Computation Time (ms),Std (Server Computation) (ms),Avg Reconstruction Time (ms),Std (Reconstruction) (ms),Bandwidth Sent (KB)
PIR_Additive_SS,8.565,0.000,154.121,0.000,0.029,0.000,122.70
PIR_SSS,39.593,0.000,166.688,0.000,0.018,0.000,117.35
PIR_DPF,0.132,0.000,360.888,0.000,0.004,0.000,625.00
Eﬃcient_IT_PIR,0.214,0.043,2556.471,47.221,0.005,0.001,2.03

DB_SIZE = 10000
Method,Avg Query Creation Time (ms),Std (Query Creation) (ms),Avg Server Computation Time (ms),Std (Server Computation) (ms),Avg Reconstruction Time (ms),Std (Reconstruction) (ms),Bandwidth Sent (KB)
PIR_Additive_SS,16.959,0.000,154.955,0.000,0.004,0.000,249.54
PIR_SSS,26.490,0.000,155.381,0.000,0.018,0.000,234.54
PIR_DPF,0.126,0.000,602.542,0.000,0.003,0.000,1250.00
Eﬃcient_IT_PIR,0.229,0.049,5658.742,235.071,0.006,0.001,2.17
